,name, eng_name, plus_code, lat, lng, edge,diatance,distance
0,北京大学东门," East Gate of Peking University, Haidian Qu, Beijing Shi, China"," X8R8+W8 Haidian District, Beijing, China",39.9923125,116.3158125," [20, 42]","[204, 253]","[204, 253]"
1,北京大学东南门, Peking University(East Gate 4)," X8Q8+M7 Haidian District, Beijing, China",39.9891875,116.3156875," [20, 25, 19]","[318, 297, 55]","[318, 297, 55]"
2,北京大学西门," Yiheyuan Rd, Haidian District, Beijing, China"," X8V3+VP Haidian District, Beijing, China",39.9946875,116.3043125," [6, 29, 38]","[264, 177, 211]","[264, 177, 211]"
3,南门（燕云轩)," Beida People Photography Artistic Center, Haidian Qu, Beijing Shi, China"," X8P6+GJ Haidian District, Beijing, China",39.9863125,116.3115625, [47],[23],[23]
4,燕南美食," Yannan Food, Haidian Qu, Beijing Shi, China"," X8R6+65 Haidian District, Beijing, China",39.9905625,116.3104375," [24, 28, 44, 18]","[17, 152, 163, 251]","[17, 152, 163, 251]"
5,农园食堂," Peking University Plantation Dining Hall, Haidian Qu, Beijing Shi, China"," X8Q6+MQ Haidian District, Beijing, China",39.9891875,116.3119375," [43, 24, 16, 48, 27]","[330, 248, 628, 204, 182]","[330, 248, 628, 204, 182]"
6,畅春园餐厅," Changchunyuan, Haidian Qu, Beijing Shi, China"," X8V3+HG Haidian District, Beijing, China",39.9939375,116.3038125," [7, 9, 40, 36, 2]","[614, 706, 685, 512, 264]","[614, 706, 685, 512, 264]"
7,Nova, Nova Bar & Restaurant," X8R3+5F Haidian District, Beijing, China",39.9904375,116.3036875," [8, 6]","[305, 614]","[305, 614]"
8,小吊梨汤, ," X8Q3+8V Haidian District, Beijing, China",39.9883125,116.3046875," [15, 7]","[453, 305]","[453, 305]"
9,佟园, ," X8R4+9V Haidian District, Beijing, China",39.9909375,116.3071875," [13, 18, 40, 36, 6]","[115, 96, 183, 354, 706]","[115, 96, 183, 354, 706]"
10,松林快餐, ," X8Q5+38 Haidian District, Beijing, China",39.98768750000001,116.3083125," [16, 12, 15]","[783, 167, 293]","[783, 167, 293]"
11,学五食堂," Peking University Xuewu Dining Hall, Haidian Qu, Beijing Shi, China"," X8Q4+HR Haidian District, Beijing, China",39.9889375,116.3070625," [14, 12, 16]","[114, 122, 539]","[114, 122, 539]"
12,艺园食堂," Art Garden Dining Hall, Haidian Qu, Beijing Shi, China"," X8Q4+7P Haidian District, Beijing, China",39.9881875,116.3068125," [10, 11, 15]","[167, 122, 137]","[167, 122, 137]"
13,勺园餐厅," Peking University Chiatai International Center, Haidian Qu, Beijing Shi, China"," X8R4+4F Haidian District Beijing, China",39.9903125,116.3061875," [14, 9]","[105, 115]","[105, 115]"
14,物美便利店," Wu Mart, Yiheyuan Rd, Haidian District, Beijing, China"," X8Q4+QF Haidian District, Beijing, China",39.9894375,116.3061875," [15, 11, 13]","[315, 114, 105]","[315, 114, 105]"
15,何贤记（小西门）," Ho's restaurant, Haidian Qu, Beijing Shi, China"," X8P4+X7 Haidian District, Beijing, China",39.9874375,116.3056875," [8, 10, 12, 14]","[453, 293, 137, 315]","[453, 293, 137, 315]"
16,最美时光咖啡厅, Shishengyuan Coffee Shop," X8Q5+H7 Haidian District, Beijing, China",39.9889375,116.3081875," [11, 10, 48, 5, 24]","[539, 783, 505, 628, 381]","[539, 783, 505, 628, 381]"
17,北京大学第一体育馆," Peking University No.1 Gymnasium, Haidian Qu, Beijing Shi, China"," X8W6+3M Haidian District, Beijing, China",39.9951875,116.3116875," [21, 22, 45, 30]","[139, 391, 394, 422]","[139, 391, 394, 422]"
18,北京大学第二体育馆," Peking University No.2 Gymnasium, Haidian Qu, Beijing Shi, China"," X8R5+88 Haidian District, Beijing, China",39.9908125,116.3083125," [4, 44, 40, 9]","[251, 148, 113, 96]","[251, 148, 113, 96]"
19,北京大学邱德拔体育馆," Qiudeba Gymnasium, Haidian Qu, Beijing Shi, China"," X8Q8+H2 Haidian District, Beijing, China",39.9889375,116.3150625," [1, 25]","[55, 288]","[55, 288]"
20,燕园派出所," Yanyuan Police Station, Haidian Qu, Beijing Shi, China"," X8R7+FV Haidian District, Beijing, China",39.9911875,116.3146875," [0, 1]","[204, 318]","[204, 318]"
21,博雅塔," Bo Ya Ta, Haidian Qu, Beijing Shi, China"," X8V6+HP Haidian District, Beijing, China",39.9939375,116.3118125," [42, 17, 23]","[284, 139, 107]","[284, 139, 107]"
22,石舫," Shifang, Weiming Lake, Haidian District, China"," X8V6+V2 Haidian District, Beijing, China",39.9946875,116.3100625," [17, 45]","[391, 347]","[391, 347]"
23,花神庙," Buddhist temple, Haidian District, China"," X8V6+J4 Haidian District, Beijing, China",39.9940625,116.3103125," [21, 29, 37]","[107, 392, 354]","[107, 392, 354]"
24,北京大学百周年纪念讲堂, Peking University Hall," X8R6+26 Haidian District, Beijing, China",39.9900625,116.3105625," [16, 48, 5, 4]","[381, 303, 248, 17]","[381, 303, 248, 17]"
25,北京大学英杰交流中心," Yingjie Communication Center, Haidian Qu, Beijing Shi, China"," X8R7+7H Haidian District, Beijing, China",39.9906875,116.3139375," [1, 19, 26, 43]","[297, 288, 211, 326]","[297, 288, 211, 326]"
26,北京大学计算中心," Computer Center of Peking University, Haidian Qu, Beijing Shi, China"," X8R7+55 Haidian District, Beijing, China",39.9904375,116.3129375," [43, 25, 28]","[302, 211, 245]","[302, 211, 245]"
27,北京大学对外汉语教育学院," School of Chinese as a Second Language, Peking University, Haidian Qu, Beijing Shi, China"," X8Q6+5M Haidian District, Beijing, China",39.9879375,116.3116875," [47, 5, 48]","[190, 182, 191]","[190, 182, 191]"
28,北京大学光华管理学院(老楼)," Guanghua School of Management, Peking University, Haidian Qu, Beijing Shi, China"," X8R6+7V Haidian District, Beijing, China",39.9906875,116.3121875," [42, 26, 4, 44]","[363, 245, 152, 274]","[363, 245, 152, 274]"
29,北京大学办公楼," Peking University Office Building (East to Weixiuyuan), Haidian Qu, Beijing Shi, China"," X8V4+RH Haidian District, Beijing, China",39.9945625,116.3064375," [2, 38, 45, 23, 37]","[177, 112, 354, 392, 109]","[177, 112, 354, 392, 109]"
30,北京大学国家发展研究院," China Center for Economic Research Peking University, Haidian Qu, Beijing Shi, China"," X8X5+5W Haidian District, Beijing, China",39.9979375,116.3098125," [45, 46, 17, 35]","[406, 218, 422, 395]","[406, 218, 422, 395]"
31,北京大学经济学院," Peking University School of Economics, Haidian Qu, Beijing Shi, China"," X8W7+P5 Haidian District, Beijing, China",39.9968125,116.3129375," [35, 32, 34]","[200, 130, 288]","[200, 130, 288]"
32,北京大学光华管理学院（新楼)," Peking University Guanghua School of Management (Southwest to Peking University Guanghua School of Management Xinlou Hotel), Haidian Qu, Beijing Shi, China"," X8W7+78 Haidian District, Beijing, China",39.9956875,116.3133125," [33, 31, 35]","[47, 130, 206]","[47, 130, 206]"
33,北京大学法学院," Peking University Chenming Building, Haidian Qu, Beijing Shi, China"," X8W7+4H Haidian District, Beijing, China",39.9953125,116.3139375," [32, 34]","[47, 475]","[47, 475]"
34,北京大学医院," Peking University Stomatology Center, Haidian Qu, Beijing Shi, China"," X8W7+PQ Haidian District, Beijing, China",39.9968125,116.3144375," [33, 31, 35]","[475, 288, 488]","[475, 288, 488]"
35,北京大学李兆基人文学院," Peking University Li Zhaoji Humanities College, Haidian Qu, Beijing Shi, China"," X8W6+MM Haidian District, Beijing, China",39.9966875,116.3116875," [32, 34, 31, 30, 46]","[206, 488, 200, 395, 266]","[206, 488, 200, 395, 266]"
36,北京大学校史馆," Museum of Peking University History, Haidian Qu, Beijing Shi, China"," X8V4+7F Haidian District, Beijing, China",39.9931875,116.3061875," [6, 37, 39, 44, 40, 9]","[512, 165, 410, 560, 303, 354]","[512, 165, 410, 560, 303, 354]"
37,北京大学档案馆," Peking University Archives, Haidian Qu, Beijing Shi, China"," X8V4+GJ Haidian District, Beijing, China",39.9938125,116.3065625," [36, 23, 29]","[165, 354, 109]","[165, 354, 109]"
38,北京大学赛克勒考古与艺术博物馆, Arthur M. Sackler Museum of Art and Archaeology At Peking University," X8W4+59 Haidian District, Beijing, China",39.9954375,116.3059375," [2, 46, 45, 29]","[211, 432, 319, 112]","[211, 432, 319, 112]"
39,北京大学第一教学楼," Peking University No.1 Teaching Building, Haidian Qu, Beijing Shi, China"," X8V6+45 Haidian District, Beijing, China",39.9928125,116.3104375," [41, 44, 40, 36]","[123, 304, 299, 410]","[123, 304, 299, 410]"
40,静园, Jing Yuan," X8R5+M7 Haidian District, Beijing, China",39.9916875,116.3081875," [36, 39, 18, 9, 6]","[303, 299, 113, 183, 685]","[303, 299, 113, 183, 685]"
41,北京大学文史教学楼," Peking University Literature and History Teaching Building, Haidian Qu, Beijing Shi, China"," X8R6+VP Haidian District, Beijing, China",39.9921875,116.3118125," [39, 42]","[123, 145]","[123, 145]"
42,北京大学理科教学楼," Peking University Science Teaching Building, Haidian Qu, Beijing Shi, China"," X8R7+M6 Haidian District, Beijing, China",39.9916875,116.3130625," [0, 21, 41, 28]","[253, 284, 145, 363]","[253, 284, 145, 363]"
43,北京大学第二教学楼," Peking University Teaching Building 2, Haidian Qu, Beijing Shi, China"," X8Q7+Q7 Haidian District, Beijing, China",39.9894375,116.3131875," [25, 26, 5]","[326, 302, 330]","[326, 302, 330]"
44,北京大学图书馆," Peking University Library, Haidian Qu, Beijing Shi, China"," X8R5+MV Haidian District, Beijing, China",39.9916875,116.3096875," [39, 28, 4, 18, 36]","[304, 274, 163, 148, 560]","[304, 274, 163, 148, 560]"
45,北京大学研究生院," Graduate School of Peking University, Haidian Qu, Beijing Shi, China"," X8W5+53 Haidian District, Beijing, China",39.9954375,116.3076875," [22, 29, 38, 30, 46, 17]","[347, 354, 319, 406, 247, 394]","[347, 354, 319, 406, 247, 394]"
